INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202467,2025,10,asp-408,CARFAIR,SCL,38 Grover Trail,Stonewall,PO2109,93.39.024.19574.73,2024-06-21 15:45:25,,SO-009,INV-00002,INV7374,80,NFI-PN-00006,nulla nisl nunc,D4,44dd,ft,10,10,1,CAD,975.18,9751.8,,,,,,,,,0,CA,
202440,2025,26,mpb-881,CARFAIR,1M2,745 Summit Point,Pailin,PO6543,53.96.673.90793.69,2024-06-16 15:45:25,2024-06-15 15:45:25,SO-010,INV-00002,INV8990,57,NFI-PN-00023,tempor turpis nec euismod scelerisque quam,R70,,in,10,10,0,KHR,210.89,2108.9,,,,,,,,,0,KH,
202475,2024,31,bsr-318,NFI,CWP,362 Weeping Birch Avenue,Gedangan,PO8765,06.10.069.75677.76,2024-06-25 15:45:25,2024-06-23 15:45:25,SO-049,INV-00002,INV4748,43,NFI-PN-00036,sit amet consectetuer adipiscing,N40,00ll,L,7,7,0,IDR,244.18,1709.26,,,,,,,,,0,ID,
202441,2024,21,zsm-719,ARBOC,ANN,2146 Glacier Hill Terrace,Piskavica,PO4321,42.66.497.05541.98,2024-06-25 15:45:25,,SO-035,INV-00002,INV4748,19,NFI-PN-00022,lectus pellentesque eget,G59,,in,1,1,1,BAM,711.45,711.45,,,,,,,,,0,BA,
202432,2025,25,jzp-927,NFI,1M2,19 3rd Terrace,Arbeláez,,03.80.411.87487.97,2024-06-22 15:45:25,2024-06-19 15:45:25,SO-030,INV-00002,INV2526,61,NFI-PN-00096,ante nulla justo aliquam quis,Z26,99ii,L,2,2,0,COP,491.47,982.94,,,,,,,,,0,CO,PAINT
202439,2025,23,cui-594,NFI,SCL,0 Namekagon Road,Chimoio,PO4321,98.05.889.34856.04,2024-06-27 15:45:25,,SO-029,INV-00002,INV99100,75,NFI-PN-00049,cubilia curae nulla,Q43,99kk,ft,10,10,1,MZN,536.62,5366.2,,,,,,,,,0,MZ,
202485,2024,4,fid-280,NFI,WPR,7044 Donald Pass,Mirskoy,PO5678,01.79.455.90826.19,2024-06-27 15:45:25,,SO-047,INV-00002,INV6162,97,NFI-PN-00053,aliquam sit amet diam in magna,N40,99ii,gal,1,1,0,RUB,841.08,841.08,,,,,,,,,0,RU,PAINT
202405,2024,42,qls-604,CARFAIR,CRK,3 Spenser Pass,Tayturka,PO2109,34.21.226.06026.59,2024-06-19 15:45:25,2024-06-18 15:45:25,SO-009,INV-00002,INV9596,14,NFI-PN-00066,iaculis congue vivamus metus,F6,55ww,kg,2,2,0,RUB,778.76,1557.52,,,,,,,,,0,RU,
202418,2025,38,kxd-597,CARFAIR,CWP,060 Maple Wood Plaza,Khorostkiv,PO1234,95.36.770.96913.88,2024-06-26 15:45:25,2024-06-23 15:45:25,SO-030,INV-00002,INV1516,84,NFI-PN-00068,duis mattis egestas,Z26,66dd,L,1,1,1,UAH,870.97,870.97,,,,,,,,,0,UA,
202402,2024,5,ibi-008,NFI,1M2,146 Hoffman Alley,Futian,PO4321,90.41.606.80002.57,2024-06-16 15:45:25,,SO-044,INV-00002,INV2728,29,NFI-PN-00047,convallis nunc proin,Y77,33ww,kg,5,5,0,CNY,24,120,,32,,,,,,,32,CN,
