INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202411,2025,4,pzx-799,NFI,WPR,68 Hanson Alley,Gyangkar,,99.85.782.55471.28,2024-06-28 22:40:07,2024-06-24 22:40:07,SO-045,INV-00002,INV6566,27,NFI-PN-00001,tempor convallis nulla neque libero,Q17,11cc,oz,10,10,1,CNY,657.82,6578.2,NO,,,,,,,,0,CN,
202472,2025,52,chf-052,NFI,SCL,44 Lawn Road,Arani,PO7890,96.23.804.79493.70,2024-07-04 22:40:07,2024-06-27 22:40:07,SO-029,INV-00002,INV6970,28,NFI-PN-00002,nunc proin at turpis a,E83,,in,1,1,1,BOB,348.23,348.23,,,,,,,,,0,BO,
202494,2024,46,cey-400,NFI,1M2,3 Talmadge Circle,Páchni,,44.44.060.50769.41,2024-07-07 22:40:07,2024-07-06 22:40:07,SO-043,INV-00002,INV1314,36,NFI-PN-00003,nunc donec quis orci eget,L12,,ft,2,2,0,EUR,871.46,1742.92,,,,,,,,,0,GR,PAINT
202472,2025,36,scm-951,CARFAIR,CWP,4 Magdeline Lane,Alukama,PO8765,55.18.896.19856.72,2024-07-04 22:40:07,,SO-019,INV-00002,INV7980,9,NFI-PN-00004,cum sociis natoque,M91,,cm,2,2,0,IDR,100.31,200.62,,,,,,,,,0,ID,
202489,2025,23,tqr-228,NFI,WPR,8097 Summerview Terrace,Ostrów Mazowiecka,,80.73.747.68982.84,2024-07-08 22:40:07,2024-07-03 22:40:07,SO-028,INV-00002,INV5354,45,NFI-PN-00005,sed interdum venenatis turpis enim,Z26,44rr,lb,10,10,0,PLN,58.52,585.2,,,,,,,,,0,PL,
202428,2024,49,ewn-001,MCI,1M1,23 Green Street,Hrádek,,73.14.205.44690.21,2024-07-02 22:40:07,2024-06-25 22:40:07,SO-005,INV-00002,INV8990,22,NFI-PN-00006,nulla nisl nunc,F84,,ft,1,1,0,CZK,975.18,975.18,,,,,,,,,0,CZ,
202490,2024,35,xif-099,MCI,WPR,4943 Redwing Lane,Alcanhões,PO4567,45.23.184.63758.69,2024-06-25 22:40:08,2024-06-23 22:40:08,SO-044,INV-00002,INV1718,70,NFI-PN-00007,consequat morbi a,B2,,L,1,1,1,EUR,583.42,583.42,,,,,,,,,0,PT,
202427,2025,3,cgi-800,ARBOC,WPR,82214 Fisk Hill,Landskrona,PO6789,64.11.176.23557.07,2024-07-01 22:40:08,2024-06-24 22:40:08,SO-032,INV-00002,INV2526,56,NFI-PN-00008,morbi ut odio cras mi pede,Q69,44rr,gal,1,1,1,SEK,364.77,364.77,,,,,,,,,0,SE,
202452,2025,4,woc-240,NFI,ANN,709 Londonderry Park,Jocotán,PO0987,14.92.791.34228.89,2024-06-26 22:40:08,,SO-033,INV-00002,INV2324,27,NFI-PN-00009,pretium quis lectus,U47,,L,3,3,0,GTQ,900.33,2700.99,,,,,,,,,0,GT,
202436,2024,37,ioi-484,MCI,1M1,848 Johnson Way,Sahavato,,09.80.175.88473.71,2024-07-07 22:40:08,,SO-050,INV-00002,INV1920,14,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,G59,,pt,3,3,1,MGA,81.45,244.35,,,,,,,,,0,MG,
