INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202495,2025,34,oia-890,NFI,CWP,48 Sachtjen Plaza,Longping,,27.12.227.37879.84,2024-06-29 18:14:15,,SO-041,INV-00002,INV99100,7,NFI-PN-00001,tempor convallis nulla neque libero,Y51,,oz,10,10,0,CNY,657.82,6578.2,,,,,,,,,0,CN,
202428,2024,29,qzo-597,NFI,ANN,70034 Carioca Drive,Punata,PO4321,62.72.508.91426.85,2024-07-09 18:14:15,,SO-005,INV-00002,INV6768,28,NFI-PN-00002,nunc proin at turpis a,E83,,in,4,4,1,BOB,348.23,1392.92,,,,,,,,,0,BO,
202444,2025,51,eov-872,ARBOC,WPR,928 Ridgeview Way,Kuala Terengganu,PO4321,70.83.971.94727.92,2024-06-28 18:14:15,2024-06-27 18:14:15,SO-030,INV-00002,INV8384,79,NFI-PN-00003,nunc donec quis orci eget,B28,,ft,6,6,0,MYR,871.46,5228.76,,,,,,,,,0,MY,
202415,2025,26,nmv-337,CARFAIR,WPR,2714 Service Way,Point Pedro,PO1234,29.08.787.91310.97,2024-07-06 18:14:15,2024-07-03 18:14:15,SO-017,INV-00002,INV7778,19,NFI-PN-00004,cum sociis natoque,A27,44ff,cm,9,9,1,LKR,100.31,902.79,,,,,,,,,0,LK,
202457,2025,20,zwq-743,MCI,1M1,7310 Florence Lane,Mt Peto,PO4321,31.77.180.96437.16,2024-07-06 18:14:15,2024-07-03 18:14:15,SO-023,INV-00002,INV6162,52,NFI-PN-00005,sed interdum venenatis turpis enim,C29,,lb,4,4,1,JMD,58.52,234.08,,,,,,,,,0,JM,
202464,2024,45,dwa-422,MCI,CWP,2863 Troy Avenue,Roriz,,16.65.616.08310.11,2024-06-30 18:14:15,,SO-024,INV-00002,INV4546,83,NFI-PN-00006,nulla nisl nunc,X24,,ft,4,4,0,EUR,975.18,3900.72,,,,,,,,,0,PT,
202454,2024,10,exi-760,CARFAIR,SCL,4 Cascade Terrace,Bafoussam,,60.81.468.64628.79,2024-07-05 18:14:15,,SO-031,INV-00002,INV6768,1,NFI-PN-00007,consequat morbi a,H86,33qq,L,1,1,0,XAF,583.42,583.42,,,,,,,,,0,CM,VMI
202485,2024,39,qhi-904,ARBOC,1M1,798 Blackbird Trail,Xinji,,61.14.526.84739.55,2024-07-09 18:14:15,2024-07-05 18:14:15,SO-017,INV-00002,INV9596,72,NFI-PN-00008,morbi ut odio cras mi pede,V100,,gal,6,6,0,CNY,364.77,2188.62,,,,,,,,,0,CN,
202451,2024,24,shl-026,NFI,1M1,81547 Gulseth Drive,Brejo Santo,PO4321,05.08.345.43349.87,2024-07-03 18:14:15,,SO-023,INV-00002,INV1718,20,NFI-PN-00009,pretium quis lectus,T72,77kk,L,1,1,0,BRL,900.33,900.33,NO,,,,,,,,0,BR,
202496,2025,19,dyg-845,MCI,ANN,3 Leroy Place,Deje,,08.80.278.01600.08,2024-07-06 18:14:15,,SO-048,INV-00002,INV1516,55,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,V48,,pt,2,2,1,SEK,81.45,162.9,,,,,,,,,0,SE,
