INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202405,2025,22,wzu-389,NFI,ANN,8133 Bunting Circle,Borovan,,26.13.545.18494.72,2024-07-01 22:00:13,2024-06-24 22:00:13,SO-031,INV-00002,INV2122,37,NFI-PN-00001,tempor convallis nulla neque libero,U21,99ii,oz,4,4,0,BGN,657.82,2631.28,,,,,,,,,0,BG,
202504,2025,3,dxh-368,MCI,CWP,0 Gerald Park,Chame,PO2109,69.96.015.32611.26,2024-06-30 22:00:13,,SO-026,INV-00002,INV6364,66,NFI-PN-00002,nunc proin at turpis a,F6,99cc,in,5,5,1,PAB,348.23,1741.15,,,73.0,,,,,,0,PA,
202420,2025,41,way-019,NFI,WPR,85046 Doe Crossing Alley,Aimorés,,47.76.406.99761.49,2024-07-01 22:00:13,,SO-029,INV-00002,INV9394,75,NFI-PN-00003,nunc donec quis orci eget,U73,,ft,9,9,0,BRL,871.46,7843.14,,,,,,,,,0,BR,VENDING
202423,2025,14,rxd-377,CARFAIR,CWP,861 Buhler Junction,Hrotovice,,98.70.025.35200.43,2024-06-28 22:00:13,,SO-040,INV-00002,INV2728,30,NFI-PN-00004,cum sociis natoque,E83,77yy,cm,8,8,0,CZK,100.31,802.48,,,,,,,,,0,CZ,
202462,2025,34,zeb-687,ARBOC,SCL,48 Grover Pass,Andrézieux-Bouthéon,PO4321,98.21.392.75966.14,2024-07-01 22:00:13,,SO-029,INV-00002,INV5758,80,NFI-PN-00005,sed interdum venenatis turpis enim,A27,,lb,8,8,1,EUR,58.52,468.16,,,,,,,,,0,FR,
202457,2025,12,rrz-882,CARFAIR,ANN,55315 Anniversary Court,Chambray-lès-Tours,,75.07.703.81110.78,2024-07-04 22:00:13,2024-07-02 22:00:13,SO-002,INV-00002,INV4748,4,NFI-PN-00006,nulla nisl nunc,L38,,ft,7,7,1,EUR,975.18,6826.26,,,,,,,,,0,FR,
202466,2024,52,bmd-281,ARBOC,WPR,45462 Carberry Place,Bajiao,PO2109,03.45.075.12401.04,2024-06-25 22:00:13,2024-06-23 22:00:13,SO-043,INV-00002,INV2930,63,NFI-PN-00007,consequat morbi a,C81,,L,6,6,0,CNY,583.42,3500.52,,,,,,,,,0,CN,
202464,2024,45,pze-130,CARFAIR,WPR,9 Kinsman Terrace,Hässelby,PO4567,59.74.522.96600.43,2024-07-06 22:00:13,2024-07-02 22:00:13,SO-011,INV-00002,INV3536,90,NFI-PN-00008,morbi ut odio cras mi pede,T46,00rr,gal,6,6,1,SEK,364.77,2188.62,,,,,,,,,0,SE,KANBAN
202433,2025,1,bmn-070,ARBOC,CWP,78555 Stoughton Park,Hwange,,79.61.907.46887.00,2024-07-08 22:00:13,,SO-042,INV-00002,INV7576,29,NFI-PN-00009,pretium quis lectus,S19,,L,1,1,1,ZWL,900.33,900.33,,,,,,,,,0,ZW,
202467,2025,40,yuh-365,NFI,1M2,29374 Burrows Center,Tanshan,,78.70.331.44890.39,2024-06-30 22:00:13,,SO-026,INV-00002,INV2930,58,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,C29,99gg,pt,5,5,1,CNY,81.45,407.25,,,,,,,,,0,CN,
