INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202495,2024,40,lig-146,CARFAIR,1M1,980 Jackson Junction,Pankrushikha,,80.17.482.95214.36,2024-06-30 13:10:12,,SO-031,INV-00002,INV5758,30,NFI-PN-00001,tempor convallis nulla neque libero,P42,,oz,6,6,0,RUB,657.82,3946.92,,,,,,,,,0,RU,KANBAN
202421,2025,8,eoj-424,CARFAIR,CWP,57 Raven Trail,Bagumbayan,PO6543,12.37.778.70151.95,2024-07-03 13:10:12,,SO-018,INV-00002,INV1920,50,NFI-PN-00002,nunc proin at turpis a,V100,22dd,in,10,10,1,PHP,348.23,3482.3,,,,,,,,,0,PH,
202459,2025,45,umq-241,NFI,1M1,2674 Reindahl Junction,Florestópolis,PO1234,67.72.158.85809.24,2024-06-27 13:10:12,,SO-015,INV-00002,INV7778,83,NFI-PN-00003,nunc donec quis orci eget,B28,33gg,ft,6,6,1,BRL,871.46,5228.76,,,,,,,,,0,BR,
202485,2025,3,ebj-525,MCI,WPR,6226 Grim Pass,Bayt Ūlā,,00.34.234.77998.44,2024-06-30 13:10:12,,SO-018,INV-00002,INV3334,23,NFI-PN-00004,cum sociis natoque,B54,,cm,9,9,1,ILS,100.31,902.79,,,,,,,,,0,PS,
202436,2024,19,kdx-563,ARBOC,CWP,9 Superior Junction,Sandaogou,PO4321,31.44.466.56997.53,2024-07-05 13:10:12,,SO-049,INV-00002,INV6768,41,NFI-PN-00005,sed interdum venenatis turpis enim,Q17,11ee,lb,7,7,1,CNY,192,1344.0,,,,,,,,,0,CN,
202477,2024,7,vdl-329,CARFAIR,1M1,6 Meadow Ridge Park,Gon’ba,PO6543,47.81.414.92601.84,2024-07-06 13:10:12,,SO-048,INV-00002,INV1314,92,NFI-PN-00006,nulla nisl nunc,A79,88ff,ft,10,10,0,RUB,975.18,9751.8,,,,,,,,,0,RU,
202475,2024,9,zaa-469,ARBOC,CRK,791 Northfield Terrace,Lamotrek,PO9876,34.64.757.36511.34,2024-06-27 13:10:12,2024-06-21 13:10:12,SO-015,INV-00002,INV3132,61,NFI-PN-00007,consequat morbi a,D56,44bb,L,3,3,1,USD,583.42,1750.26,,,,,,,,,0,FM,VENDING
202406,2025,5,kcf-570,CARFAIR,CWP,4062 Old Shore Center,Rasskazovo,PO1098,95.32.198.27342.82,2024-07-06 13:10:12,,SO-005,INV-00002,INV4344,75,NFI-PN-00008,morbi ut odio cras mi pede,D82,00bb,gal,2,2,1,RUB,364.77,729.54,,,,,,,,,0,RU,
202472,2025,48,rim-576,ARBOC,CWP,2789 Lerdahl Terrace,Sokol’skoye,PO8765,15.30.937.74388.02,2024-07-02 13:10:12,2024-06-27 13:10:12,SO-012,INV-00002,INV4950,86,NFI-PN-00009,pretium quis lectus,A53,99ss,L,4,4,1,RUB,900.33,3601.32,,,,,,,,,0,RU,KANBAN
202431,2025,44,vhb-574,ARBOC,ANN,109 Chinook Junction,Tiandu,PO2109,74.78.365.80084.62,2024-07-01 13:10:12,2024-06-30 13:10:12,SO-037,INV-00002,INV6162,1,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,F6,77oo,pt,9,9,0,CNY,81.45,733.05,,,,,,,18.0,,0,CN,
