INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202476,2025,21,amo-236,CARFAIR,WPR,64 Troy Point,Aime,,60.71.972.77706.75,2024-07-07 21:14:09,2024-07-03 21:14:09,SO-035,INV-00002,INV5678,98,NFI-PN-00001,tempor convallis nulla neque libero,I61,,oz,10,10,0,EUR,177,1770.0,,,,,,,,,0,FR,
202441,2024,24,nlo-450,MCI,SCL,61 Corry Junction,Muquiyauyo,PO4321,58.54.705.66769.16,2024-06-28 21:14:09,,SO-045,INV-00002,INV2728,45,NFI-PN-00002,nunc proin at turpis a,W49,,in,4,4,1,PEN,348.23,1392.92,,,,,,,,,0,PE,
202427,2024,37,zcr-401,MCI,CRK,8684 Bonner Plaza,Gujiang,PO6789,34.37.267.51975.27,2024-07-04 21:14:09,2024-06-28 21:14:09,SO-038,INV-00002,INV4546,99,NFI-PN-00003,nunc donec quis orci eget,Y51,,ft,8,8,0,CNY,871.46,6971.68,,,,,,,,,0,CN,
202444,2024,23,xzy-081,CARFAIR,ANN,4676 Forest Run Point,Limbuš,,04.23.285.67258.97,2024-07-05 21:14:09,,SO-032,INV-00002,INV1920,15,NFI-PN-00004,cum sociis natoque,P94,11ii,cm,1,1,0,EUR,100.31,100.31,,,,,,,,,0,SI,KANBAN
202457,2025,49,lfi-510,ARBOC,CWP,072 Hoard Trail,Duyure,PO7654,25.84.486.93531.74,2024-07-02 21:14:09,,SO-026,INV-00002,INV6970,99,NFI-PN-00005,sed interdum venenatis turpis enim,P68,,lb,10,10,1,HNL,58.52,585.2,,,,,,,,,0,HN,
202444,2024,43,wmp-385,NFI,1M1,7 School Hill,Posadas,,48.26.841.73641.86,2024-06-26 21:14:09,2024-06-20 21:14:09,SO-008,INV-00002,INV2526,92,NFI-PN-00006,nulla nisl nunc,K37,,ft,8,8,0,ARS,975.18,7801.44,,,,,,,,,0,AR,
202458,2025,9,cgk-489,NFI,1M2,40935 Cascade Crossing,Zborovice,PO2109,66.05.112.92175.74,2024-06-28 21:14:09,,SO-021,INV-00002,INV4344,65,NFI-PN-00007,consequat morbi a,I9,77yy,L,1,1,1,CZK,583.42,583.42,,,,,,,,,0,CZ,
202485,2025,30,tbb-887,MCI,1M1,4222 Karstens Court,Cezi,,59.75.467.35685.79,2024-07-02 21:14:09,2024-06-30 21:14:09,SO-030,INV-00002,INV4344,3,NFI-PN-00008,morbi ut odio cras mi pede,W75,88pp,gal,10,10,0,CNY,364.77,3647.7,,,,,,,,,0,CN,
202425,2024,52,rku-566,MCI,ANN,76463 Summer Ridge Lane,Nanfeng,PO4321,74.80.882.75737.93,2024-07-05 21:14:09,2024-07-01 21:14:09,SO-030,INV-00002,INV6364,20,NFI-PN-00009,pretium quis lectus,I35,66dd,L,2,2,0,CNY,900.33,1800.66,,,,,,,,,0,CN,
202503,2025,15,ccz-149,CARFAIR,WPR,12503 Coolidge Circle,Qanliko’l,PO4321,17.79.685.86831.26,2024-07-05 21:14:09,,SO-002,INV-00002,INV4546,66,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,J10,22tt,pt,4,4,0,UZS,81.45,325.8,,,,,,,,,0,UZ,
