INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202500,2024,46,vkv-135,ARBOC,CWP,8 Welch Court,Kloulklubed,PO0987,42.34.105.84502.30,2024-06-30 22:14:14,2024-06-23 22:14:14,SO-041,INV-00002,INV5960,79,NFI-PN-00001,tempor convallis nulla neque libero,N40,22ff,oz,2,2,0,USD,657.82,1315.64,,,,,,,,,0,PW,
202457,2024,43,dco-064,NFI,CRK,11011 Sloan Plaza,Teófilo Otoni,PO6543,45.36.533.95922.11,2024-06-29 22:14:15,,SO-043,INV-00002,INV9596,77,NFI-PN-00002,nunc proin at turpis a,U47,44vv,in,1,1,0,BRL,348.23,348.23,,,,,,,,,0,BR,
202412,2025,38,woq-371,ARBOC,CRK,403 Vidon Parkway,Buriram,,76.59.860.00952.00,2024-07-07 22:14:15,,SO-004,INV-00002,INV5678,36,NFI-PN-00003,nunc donec quis orci eget,F32,44vv,ft,5,5,1,THB,871.46,4357.3,,,,,,,,,0,TH,
202487,2025,47,siw-353,CARFAIR,WPR,84 Delladonna Lane,Puerto Cisnes,PO8765,46.44.029.88583.46,2024-07-06 22:14:15,,SO-035,INV-00002,INV8990,36,NFI-PN-00004,cum sociis natoque,N92,11oo,cm,8,8,0,CLP,100.31,802.48,,,,,,,,,0,CL,
202478,2025,35,zsh-781,MCI,WPR,215 Stoughton Lane,Birātnagar,PO0987,60.35.779.64527.04,2024-07-01 22:14:15,,SO-026,INV-00002,INV2324,28,NFI-PN-00005,sed interdum venenatis turpis enim,Z78,,lb,1,1,1,NPR,58.52,58.52,,,,,,,,,0,NP,
202499,2024,24,qnx-124,ARBOC,CWP,766 Buena Vista Trail,Baharly,PO6543,80.84.195.21214.46,2024-06-30 22:14:15,2024-06-26 22:14:15,SO-045,INV-00002,INV7374,33,NFI-PN-00006,nulla nisl nunc,X76,66pp,ft,9,9,0,TMT,975.18,8776.62,,,,,,,,,0,TM,
202474,2025,9,zsv-283,CARFAIR,CWP,27337 Barby Crossing,Musawa,,28.34.135.36299.73,2024-06-30 22:14:15,2024-06-27 22:14:15,SO-017,INV-00002,INV8586,8,NFI-PN-00007,consequat morbi a,M13,00rr,L,7,7,0,NGN,583.42,4083.94,,,,,,,,,0,NG,
202431,2025,49,dlv-530,CARFAIR,1M1,9076 Clyde Gallagher Drive,Klirou,PO2109,81.51.975.03775.52,2024-07-02 22:14:15,,SO-024,INV-00002,INV9394,15,NFI-PN-00008,morbi ut odio cras mi pede,A1,11uu,gal,5,5,0,EUR,364.77,1823.85,,,,,,,,,0,CY,
202423,2025,38,gue-270,MCI,1M2,7400 Norway Maple Drive,Dake,PO3210,24.82.230.58660.83,2024-07-01 22:14:15,,SO-041,INV-00002,INV4142,13,NFI-PN-00009,pretium quis lectus,L64,,L,5,5,1,CNY,900.33,4501.65,,,,,,,,,0,CN,
202441,2025,24,zyu-885,CARFAIR,CWP,363 Mendota Place,Aţ Ţaybah,PO4321,75.85.390.68750.73,2024-07-05 22:14:15,,SO-033,INV-00002,INV1516,9,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,L90,,pt,8,8,1,ILS,81.45,651.6,,,,,,,,,0,PS,
