INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202497,2025,40,qjt-176,ARBOC,CWP,00895 Derek Alley,Czerwionka-Leszczyny,PO2109,39.70.926.47517.30,2024-07-01 14:02:09,2024-06-27 14:02:09,SO-016,INV-00002,INV7172,5,NFI-PN-00001,tempor convallis nulla neque libero,C55,66hh,oz,3,3,1,PLN,657.82,1973.46,,,,,,,,,0,PL,
202435,2025,34,phi-317,ARBOC,SCL,96978 Gulseth Terrace,Lille,PO5678,68.81.445.29878.69,2024-06-28 14:02:09,2024-06-23 14:02:09,SO-014,INV-00002,INV4546,5,NFI-PN-00002,nunc proin at turpis a,U21,22ll,in,10,10,1,EUR,348.23,3482.3,,,,,,,,,0,FR,
202496,2024,20,brr-614,NFI,1M1,226 Maple Wood Center,Krasnoshchekovo,,18.30.907.64523.34,2024-07-10 14:02:09,,SO-028,INV-00002,INV4748,76,NFI-PN-00003,nunc donec quis orci eget,M39,,ft,5,5,1,RUB,871.46,4357.3,,,,,,,,,0,RU,
202423,2024,9,znv-877,ARBOC,WPR,37 Stuart Avenue,Sandy Bay,PO8765,08.96.429.94029.92,2024-07-07 14:02:09,,SO-029,INV-00002,INV2930,22,NFI-PN-00004,cum sociis natoque,Y25,33mm,cm,8,8,1,JMD,100.31,802.48,,,,,,,,,0,JM,PAINT
202500,2024,40,adz-459,CARFAIR,CWP,916 Longview Lane,Kruty,,63.67.455.22583.49,2024-07-10 14:02:09,2024-07-07 14:02:09,SO-048,INV-00002,INV9394,100,NFI-PN-00005,sed interdum venenatis turpis enim,H34,77ee,lb,4,4,0,UAH,58.52,234.08,,,,,,,,,0,UA,
202443,2025,21,rgy-528,CARFAIR,1M1,22215 Emmet Plaza,Knysna,PO4321,16.51.977.27858.53,2024-07-07 14:02:09,,SO-013,INV-00002,INV2324,69,NFI-PN-00006,nulla nisl nunc,W49,,ft,6,6,1,ZAR,975.18,5851.08,,,,,,,,,0,ZA,PAINT
202418,2024,5,dux-363,MCI,1M2,848 Ohio Drive,Batibati,PO0123,56.23.006.62988.87,2024-06-28 14:02:09,2024-06-24 14:02:09,SO-039,INV-00002,INV6566,83,NFI-PN-00007,consequat morbi a,T46,55ww,L,8,8,0,IDR,583.42,4667.36,,,,,,,,,0,ID,
202422,2025,21,rwc-735,CARFAIR,ANN,736 Redwing Alley,Koina,PO0987,53.06.924.62793.97,2024-06-27 14:02:09,,SO-027,INV-00002,INV8788,99,NFI-PN-00008,morbi ut odio cras mi pede,H8,77qq,gal,9,9,1,GMD,364.77,3282.93,NO,,,,,,,,0,GM,
202470,2024,39,uwc-456,CARFAIR,WPR,9 Stuart Center,Progreso,PO7890,59.77.021.40693.53,2024-07-07 14:02:09,2024-07-02 14:02:09,SO-048,INV-00002,INV3132,50,NFI-PN-00009,pretium quis lectus,A53,,L,6,6,0,PAB,900.33,5401.98,,,,,,,,,0,PA,
202489,2024,7,eqa-074,ARBOC,CRK,7 Butternut Lane,Tours,PO4321,74.58.266.62366.76,2024-07-06 14:02:09,,SO-043,INV-00002,INV7980,13,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,M39,33ee,pt,4,4,0,EUR,81.45,325.8,,,,,,,,,0,FR,
