INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202462,2025,45,wyv-293,MCI,SCL,6641 Loomis Hill,Järna,PO8765,76.79.001.54132.54,2024-07-07 23:06:13,,SO-015,INV-00002,INV9596,32,NFI-PN-00001,tempor convallis nulla neque libero,D30,22ll,oz,5,5,1,SEK,657.82,3289.1,,,,,,,,,0,SE,
202402,2025,6,tby-507,MCI,SCL,00513 Drewry Avenue,Sirghāyā,PO8765,65.76.739.95358.13,2024-07-05 23:06:14,2024-06-29 23:06:14,SO-028,INV-00002,INV4950,84,NFI-PN-00002,nunc proin at turpis a,L12,55gg,in,3,3,1,SYP,348.23,1044.69,,,,,,,,,0,SY,PAINT
202435,2024,31,nzd-821,MCI,1M1,9 Shoshone Terrace,Shuvakish,PO7654,50.79.351.84262.81,2024-06-29 23:06:14,,SO-044,INV-00002,INV9101,71,NFI-PN-00003,nunc donec quis orci eget,S71,,ft,8,8,0,RUB,871.46,6971.68,,,,,,,,,0,RU,VENDING
202428,2025,15,dgc-543,NFI,1M2,68 Lakeland Trail,Veiga,,74.17.085.04875.28,2024-06-30 23:06:14,,SO-028,INV-00002,INV4546,2,NFI-PN-00004,cum sociis natoque,B2,,cm,4,4,0,EUR,100.31,401.24,,,,,95.0,,,,0,PT,PAINT
202408,2024,3,sna-017,MCI,SCL,86699 Elgar Drive,Babo-Pangulo,PO6543,04.53.196.34390.11,2024-07-07 23:06:14,2024-07-03 23:06:14,SO-011,INV-00002,INV2122,79,NFI-PN-00005,sed interdum venenatis turpis enim,R18,,lb,7,7,1,PHP,58.52,409.64,,,,,,,,,0,PH,
202436,2025,31,gnq-758,CARFAIR,1M1,48 Golf Course Place,Timpas,,52.83.098.69666.28,2024-06-26 23:06:14,2024-06-20 23:06:14,SO-038,INV-00002,INV2324,69,NFI-PN-00006,nulla nisl nunc,L12,,ft,9,9,1,PHP,975.18,8776.62,,,,,,,,,0,PH,
202470,2024,37,njm-093,NFI,WPR,8 International Terrace,Bruxelles,,06.72.680.31679.50,2024-06-25 23:06:14,,SO-016,INV-00002,INV6162,81,NFI-PN-00007,consequat morbi a,D56,99ss,L,9,9,0,EUR,583.42,5250.78,,,,,,,,,0,BE,PAINT
202494,2024,44,tju-234,NFI,CRK,193 Aberg Place,Kampong Chhnang,,32.66.591.58181.71,2024-06-28 23:06:14,2024-06-23 23:06:14,SO-009,INV-00002,INV6162,28,NFI-PN-00008,morbi ut odio cras mi pede,U99,22ll,gal,5,5,0,KHR,364.77,1823.85,,,,,,,,,0,KH,
202403,2025,23,icz-525,CARFAIR,1M1,97741 Rockefeller Road,Keffin Hausa,,34.46.319.41925.04,2024-06-27 23:06:14,2024-06-23 23:06:14,SO-005,INV-00002,INV9192,50,NFI-PN-00009,pretium quis lectus,E83,88vv,L,9,9,0,NGN,19,171.0,,,,,,,,,0,NG,
202473,2025,8,mdl-494,NFI,CRK,010 Sunbrook Way,Balungkopi,,35.09.407.20114.44,2024-06-25 23:06:14,2024-06-24 23:06:14,SO-049,INV-00002,INV8788,49,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,J88,,pt,9,9,1,IDR,81.45,733.05,,,,,,,,,0,ID,
