INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202450,2025,38,chd-041,ARBOC,CRK,521 Lien Terrace,Kham Sakae Saeng,,69.77.701.11292.02,2024-06-27 21:56:13,,SO-050,INV-00002,INV8586,79,NFI-PN-00001,tempor convallis nulla neque libero,J62,22ll,oz,6,6,0,THB,657.82,3946.92,,,,,,,,,0,TH,
202480,2024,2,uwi-391,ARBOC,CWP,64240 Walton Park,Verkhniy Baskunchak,,10.83.510.19252.47,2024-06-25 21:56:14,2024-06-23 21:56:14,SO-050,INV-00002,INV2324,7,NFI-PN-00002,nunc proin at turpis a,N92,,in,5,5,1,RUB,348.23,1741.15,,,,,,,,,0,RU,
202424,2024,39,gez-035,CARFAIR,CWP,6 Stone Corner Plaza,Qingfeng,,85.13.651.68732.86,2024-07-04 21:56:14,,SO-016,INV-00002,INV6970,97,NFI-PN-00003,nunc donec quis orci eget,Y25,44xx,ft,6,6,1,CNY,871.46,5228.76,,,,,,,,,0,CN,
202426,2024,17,emf-900,MCI,ANN,43 Wayridge Place,Krasne,PO5432,84.22.183.45002.36,2024-06-25 21:56:14,2024-06-20 21:56:14,SO-026,INV-00002,INV9101,57,NFI-PN-00004,cum sociis natoque,E83,,cm,7,7,0,PLN,100.31,702.17,,,,,,,,,0,PL,
202503,2025,15,pza-140,CARFAIR,SCL,80074 Farragut Court,Ostrów Lubelski,PO4567,37.46.136.46594.27,2024-07-01 21:56:14,,SO-004,INV-00002,INV5758,4,NFI-PN-00005,sed interdum venenatis turpis enim,N40,,lb,6,6,1,PLN,58.52,351.12,,,,,,,,,0,PL,
202492,2024,10,utx-862,MCI,SCL,900 Mallard Avenue,Magog,,53.83.737.03488.25,2024-07-03 21:56:14,,SO-022,INV-00002,INV4344,91,NFI-PN-00006,nulla nisl nunc,B28,33kk,ft,2,2,0,CAD,975.18,1950.36,,,,,,,,,0,CA,
202476,2025,38,bqj-368,MCI,CRK,609 Anderson Way,Catarina,,99.49.856.89453.94,2024-07-05 21:56:14,2024-06-28 21:56:14,SO-003,INV-00002,INV2122,74,NFI-PN-00007,consequat morbi a,S19,,L,10,10,0,NIO,583.42,5834.2,,,,,,,,,0,NI,
202450,2024,21,uup-923,ARBOC,1M1,64216 Corscot Junction,Rozhniv,,81.45.925.42803.12,2024-07-04 21:56:14,2024-06-29 21:56:14,SO-008,INV-00002,INV5556,62,NFI-PN-00008,morbi ut odio cras mi pede,Z26,,gal,2,2,0,UAH,364.77,729.54,,,,,,,,,0,UA,
202469,2025,49,efm-269,MCI,CWP,448 Eagan Lane,Jorowaru Daya,PO8765,45.37.586.15004.92,2024-07-02 21:56:14,,SO-003,INV-00002,INV2526,68,NFI-PN-00009,pretium quis lectus,O15,,L,3,3,0,IDR,900.33,2700.99,,,,,,,,,0,ID,
202448,2025,2,eux-913,NFI,1M1,965 Division Circle,Mégara,,86.21.923.11284.45,2024-06-29 21:56:14,,SO-049,INV-00002,INV5354,53,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,C29,33cc,pt,7,7,0,EUR,81.45,570.15,,,,,,,,,0,GR,
