INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202466,2024,38,vxt-752,NFI,1M2,12339 Carpenter Street,Ust’-Ulagan,,67.73.480.70050.34,2024-06-28 22:02:19,,SO-043,INV-00002,INV3536,99,NFI-PN-00001,tempor convallis nulla neque libero,D4,33aa,oz,6,6,0,RUB,657.82,3946.92,,,,,,,,,0,RU,KANBAN
202491,2024,39,ahu-061,ARBOC,ANN,3 Sutteridge Hill,Allkaj,,72.19.415.13794.35,2024-07-05 22:02:20,,SO-007,INV-00002,INV5354,22,NFI-PN-00002,nunc proin at turpis a,K89,,in,2,2,0,ALL,348.23,696.46,,,,,,,,,0,AL,
202405,2024,23,dsb-991,CARFAIR,1M2,1 Burrows Terrace,Irupi,PO1098,68.49.796.69359.88,2024-07-05 22:02:20,,SO-032,INV-00002,INV7576,54,NFI-PN-00003,nunc donec quis orci eget,T20,99cc,ft,4,4,0,BRL,871.46,3485.84,,,,,,,,,0,BR,
202482,2025,20,klh-114,CARFAIR,ANN,6 Butternut Park,Nytva,PO5432,85.97.501.51214.75,2024-07-02 22:02:20,2024-06-28 22:02:20,SO-012,INV-00002,INV1234,93,NFI-PN-00004,cum sociis natoque,Y77,44bb,cm,4,4,0,RUB,100.31,401.24,,,,,,,,,0,RU,
202406,2025,24,tea-716,CARFAIR,CWP,76576 Green Ridge Road,Orléans,,51.57.368.89226.10,2024-06-26 22:02:20,,SO-012,INV-00002,INV6970,48,NFI-PN-00005,sed interdum venenatis turpis enim,R70,,lb,3,3,1,EUR,58.52,175.56,,20.0,,,,,,,20,FR,
202492,2025,17,pkw-193,MCI,CWP,2898 Jenna Park,Angren,PO0987,26.90.607.80611.52,2024-07-04 22:02:20,,SO-008,INV-00002,INV4142,84,NFI-PN-00006,nulla nisl nunc,R18,,ft,6,6,1,UZS,975.18,5851.08,,,,,,,,,0,UZ,
202439,2025,1,jlw-919,NFI,SCL,550 Anhalt Pass,Lom Sak,PO1098,30.77.044.27202.95,2024-07-05 22:02:20,2024-06-28 22:02:20,SO-032,INV-00002,INV6970,16,NFI-PN-00007,consequat morbi a,E31,,L,5,5,0,THB,583.42,2917.1,,,,,,,,,0,TH,
202491,2024,8,lbi-363,CARFAIR,ANN,9071 Mesta Avenue,Clichy,PO5432,25.30.775.64901.26,2024-06-28 22:02:20,,SO-019,INV-00002,INV4546,90,NFI-PN-00008,morbi ut odio cras mi pede,S71,00jj,gal,4,4,1,EUR,364.77,1459.08,,,,,,,,,0,FR,
202434,2024,40,pcm-207,NFI,WPR,9063 Towne Parkway,Alibago,PO4321,99.03.232.40195.65,2024-07-01 22:02:20,2024-06-29 22:02:20,SO-005,INV-00002,INV8182,73,NFI-PN-00009,pretium quis lectus,D4,00xx,L,3,3,0,PHP,900.33,2700.99,,,,,,,,,0,PH,
202442,2025,6,pvy-259,NFI,1M2,565 Burning Wood Crossing,Taunggyi,PO6543,77.53.877.38231.95,2024-06-27 22:02:20,,SO-017,INV-00002,INV6566,18,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,V100,33mm,pt,6,6,1,MMK,81.45,488.7,,,,,,,,,0,MM,
