INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202471,2025,24,jip-204,ARBOC,1M2,28 Anderson Alley,Dengfang,PO6543,13.99.889.83376.90,2024-06-20 15:27:33,2024-06-16 15:27:33,SO-050,INV-00002,INV1718,31,NFI-PN-00001,tempor convallis nulla neque libero,K11,,oz,8,8,1,CNY,657.82,5262.56,,,,,,,,,0,CN,
202413,2025,11,yxs-638,ARBOC,CWP,2671 Maple Place,Aija,,51.05.564.50466.92,2024-06-27 15:27:33,,SO-026,INV-00002,INV9394,67,NFI-PN-00002,nunc proin at turpis a,M39,,in,8,8,0,PEN,348.23,2785.84,,,,,,,,,0,PE,
202473,2024,50,urj-877,ARBOC,SCL,36143 Banding Circle,Villa Urquiza,,46.39.821.67183.73,2024-06-18 15:27:33,2024-06-15 15:27:33,SO-045,INV-00002,INV2526,47,NFI-PN-00003,nunc donec quis orci eget,F6,33cc,ft,9,9,1,ARS,871.46,7843.14,,,,,,,,,0,AR,
202494,2025,42,gov-793,NFI,CRK,056 New Castle Street,Corticeiro de Baixo,PO6543,53.56.973.17765.83,2024-06-24 15:27:33,2024-06-22 15:27:33,SO-041,INV-00002,INV8384,40,NFI-PN-00004,cum sociis natoque,B28,99ww,cm,10,10,1,EUR,100.31,1003.1,,,,,,,,,0,PT,
202429,2024,40,wtl-676,MCI,ANN,61 Annamark Park,Forssa,,01.41.637.48046.23,2024-06-25 15:27:33,,SO-048,INV-00002,INV4344,8,NFI-PN-00005,sed interdum venenatis turpis enim,H8,,lb,1,1,1,EUR,58.52,58.52,,,,,,,,,0,FI,
202479,2024,8,yvj-875,MCI,WPR,9508 Blue Bill Park Way,San Miguel,,86.92.754.32170.80,2024-06-22 15:27:33,,SO-032,INV-00002,INV9798,47,NFI-PN-00006,nulla nisl nunc,Q43,22dd,ft,8,8,0,MXN,975.18,7801.44,,,,,,,,,0,MX,
202491,2025,10,ftq-635,ARBOC,CRK,1 Anniversary Place,Kakamega,PO1098,16.82.061.40856.05,2024-06-25 15:27:33,,SO-012,INV-00002,INV7374,59,NFI-PN-00007,consequat morbi a,G7,,L,4,4,0,KES,583.42,2333.68,,,,,,,,,0,KE,
202463,2024,40,daj-021,ARBOC,SCL,3 Thierer Way,Pavia,PO2345,82.69.638.72733.00,2024-06-25 15:27:33,,SO-022,INV-00002,INV9596,85,NFI-PN-00008,morbi ut odio cras mi pede,U73,22dd,gal,5,5,0,EUR,364.77,1823.85,,,,,,,,,0,PT,
202440,2025,13,etr-234,MCI,SCL,12776 Melrose Court,Pointe Michel,PO1098,71.46.952.03832.80,2024-06-26 15:27:33,2024-06-23 15:27:33,SO-030,INV-00002,INV9192,62,NFI-PN-00009,pretium quis lectus,P68,,L,10,10,1,XCD,900.33,9003.3,,,,,,,,,0,DM,
202499,2024,49,eva-080,ARBOC,ANN,24430 Cottonwood Trail,Jinshan,PO6543,19.23.924.85198.92,2024-06-16 15:27:33,,SO-017,INV-00002,INV9394,46,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,K37,11ss,pt,8,8,0,CNY,81.45,651.6,,,,,,,,,0,CN,
