INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202465,2025,15,yno-853,CARFAIR,1M1,8 Westridge Hill,Guia,,74.66.980.12530.81,2024-07-08 20:41:15,2024-07-06 20:41:15,SO-029,INV-00002,INV8384,52,NFI-PN-00001,tempor convallis nulla neque libero,Y77,66zz,oz,7,7,1,EUR,657.82,4604.74,,,,,,,,,0,PT,
202476,2024,35,vca-027,CARFAIR,1M2,0807 Laurel Place,Providencia,PO2109,40.18.939.22543.46,2024-07-09 20:41:16,,SO-017,INV-00002,INV2324,34,NFI-PN-00002,nunc proin at turpis a,Q69,,in,1,1,1,MXN,348.23,348.23,,,,,,,,,0,MX,
202420,2024,36,fcm-052,ARBOC,SCL,071 Paget Center,Guinsang-an,PO6543,98.69.661.20414.91,2024-07-02 20:41:16,2024-06-27 20:41:16,SO-037,INV-00002,INV9192,3,NFI-PN-00003,nunc donec quis orci eget,M39,,ft,2,2,1,PHP,89,178.0,,,,,,,,,0,PH,
202479,2025,19,ksb-246,CARFAIR,CRK,9651 Gina Road,Marčelji,PO5432,73.57.308.48789.54,2024-07-07 20:41:16,2024-07-03 20:41:16,SO-015,INV-00002,INV2728,18,NFI-PN-00004,cum sociis natoque,W49,,cm,8,8,1,HRK,100.31,802.48,,,,,,,,,0,HR,
202500,2025,2,wjl-218,CARFAIR,CWP,536 Browning Road,Bayan Hot,PO0123,19.79.307.17169.09,2024-06-26 20:41:16,,SO-023,INV-00002,INV7980,38,NFI-PN-00005,sed interdum venenatis turpis enim,K89,,lb,9,9,1,CNY,58.52,526.68,,,,,,,,,0,CN,
202498,2024,3,hzp-616,ARBOC,1M1,1103 Rowland Junction,Novyy,PO2345,06.71.073.16947.65,2024-07-07 20:41:16,,SO-049,INV-00002,INV1718,2,NFI-PN-00006,nulla nisl nunc,T98,,ft,5,5,0,RUB,975.18,4875.9,,,,,,,,,0,RU,
202439,2025,9,qhq-318,MCI,1M2,959 Warbler Court,Działoszyce,,53.46.865.03396.45,2024-06-28 20:41:16,,SO-013,INV-00002,INV6162,93,NFI-PN-00007,consequat morbi a,O15,55gg,L,8,8,0,PLN,108,864.0,,,,,,,,42.0,0,PL,
202449,2024,22,jyp-239,NFI,ANN,83 Ridgeway Road,Wutongkou,,77.29.289.27581.49,2024-07-07 20:41:16,,SO-016,INV-00002,INV2728,99,NFI-PN-00008,morbi ut odio cras mi pede,F32,,gal,8,8,1,CNY,364.77,2918.16,,,,,,,,,0,CN,VENDING
202407,2025,29,kmn-500,ARBOC,SCL,4 Fallview Court,Ke’erlun,,17.39.496.17677.53,2024-07-01 20:41:16,,SO-021,INV-00002,INV6162,11,NFI-PN-00009,pretium quis lectus,I61,,L,8,8,0,CNY,900.33,7202.64,,,,,,,,,0,CN,
202427,2024,26,yai-464,ARBOC,1M1,837 Boyd Pass,Chaves,,09.90.000.26384.60,2024-07-08 20:41:16,,SO-032,INV-00002,INV4950,51,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,X24,33ee,pt,6,6,0,EUR,81.45,488.7,,,,,,,,,0,PT,VENDING
